Time Bucket,1-Mains_A,2-Mains_B,3-Mains_C,4-Air Conditioner-Salon San Fernando,5-Air Conditioner-Salon lado Cochez,6-Air Conditioner-Gym cancha 1,7-Air Conditioner-Cancha squash 1,8-Air Conditioner-Aire Sauna,9-Air Conditioner-Cancha squash 2,10-Air Conditioner-Gym cancha 2,11-Air Conditioner-Gym cine,12-Air Conditioner-Salon fiesta 4
2023-02-20,4.129884183536106,3.6609990415234033,2.8006669493484497,0.2662322479255994,0.2790424630641938,0.19243357997099556,0.27381695671849776,1.3004278130510118,1.3087951484266915,1.344746260602739,1.2477891544193689,1.3154445112493307
2023-02-21,6.617867305348713,3.6570962384838523,5.163506062395307,0.2659455593283971,0.27797841826809777,0.18893132094409731,0.27362324700249574,6.258434048407873,1.3063602896944682,1.3440588807074227,1.2524343831719293,1.3124317392275064
2023-02-22,4.12974672463735,3.6684341109381777,2.8049531083001034,0.2655463786321216,0.27980208500358794,0.19475149327331115,0.2727991295419799,1.3022316235192617,1.3097504827478197,1.347234703996446,1.2491956887171005,1.315835115084118
2023-02-23,4.1243025299157035,3.663347611427308,2.8009249518564014,0.2659819762179587,0.27929003061347546,0.1932852043419414,0.2721643800449372,1.301490520894793,1.3077834277470908,1.3447030096244814,1.2472146455372703,1.3139764128462472
2023-02-24,4.104641874694824,3.6503568043306145,2.788535567484962,0.2639557274015745,0.2769079484581947,0.1903433110838466,0.27054049441999856,1.2940584067694347,1.3041143079778879,1.337119734041426,1.2441597208277382,1.3096590347936419
2023-02-25,4.117856337644789,3.6703304800584586,2.803812711315155,0.26590063247442247,0.27884098210970565,0.20034826776425044,0.27334264027198163,1.297300999443266,1.3099519514889189,1.3414679906495413,1.2526373369661967,1.3156365619119008
2023-02-26,4.14369374045478,3.6917896711815734,2.821246566598681,0.2689035095527438,0.28101079066541457,0.20331218269639548,0.27599256447315224,1.3048857287544675,1.3179620659976536,1.3498015999582078,1.258831234205034,1.3240782571898566
2023-02-27,4.0994371512900445,3.6511275512229076,2.7919408732965256,0.26227943558745914,0.2762404106815656,0.1891790438554022,0.26986275758928724,1.2937148699537915,1.3052067575973931,1.336235532240338,1.2443745167795814,1.311084223467509
2023-02-28,4.0951014487245345,3.6435143143081663,2.7870721449640063,0.2628847128865454,0.27663854858530895,0.18854236831823984,0.2696736062455178,1.292609307296541,1.302680198934343,1.3352004561487836,1.2412755816025205,1.30808760963228
2023-03-01,4.090279343863594,3.642124738277859,2.7814272629568313,0.26285492967261204,0.27635483719958204,0.1889534334598647,0.269129840048684,1.290965319943958,1.3011007820648617,1.332829512344996,1.2412135612561968,1.3066464893394047
2023-03-02,6.999883541785346,3.6463596860376994,5.596632060390049,0.2630195530425178,0.2747702096549669,0.18852558922052387,0.27017999179522195,7.238313458035788,1.3004582642555236,1.3330212819099427,1.2507371904595692,1.3054540700001187
2023-03-03,4.0782967455673225,3.6360333279800416,2.774396513089074,0.2628924386329121,0.27530415435738037,0.18742042368253073,0.26828377845499257,1.288968771027459,1.2998706575330101,1.3288009089024864,1.2406141757074989,1.3051058392323394
2023-03-04,6.664374923053319,3.6631690215640593,5.29324005841573,0.26660098388459946,0.2778693962195185,0.19397249772548675,0.27325949125872717,6.592209548155467,1.3062165501456788,1.340152552222146,1.2555964981577135,1.311422946384218
2023-03-05,5.6445889722315465,3.6103129197396173,4.2651127818467875,0.26111551404741074,0.2727385712785191,0.1881929112272792,0.26820584544420245,4.451238949376212,1.2894503444692822,1.319230051033232,1.2362812766742706,1.2943707436476815
2023-03-06,4.049994017160203,3.606696603071425,2.75625790353775,0.2580856195176972,0.27277154394971,0.17810856466982106,0.26338394867791065,1.2826659603457984,1.290139502949185,1.3208049258655972,1.2301510800912645,1.2948337912686667
2023-03-07,4.054932959632874,3.6080306944741145,2.7593400754208033,0.2585026897123125,0.27389804168939597,0.17891028299199213,0.26325999256054566,1.2850934280596835,1.2888187079758113,1.3236224561723071,1.2302509312364789,1.2942116604179805
2023-03-08,7.258147810520595,3.6213455295817063,5.8668478580729175,0.2590988813463847,0.2719408660329713,0.18010264590448805,0.2664995704020394,7.848867265166178,1.2903262423864998,1.3256180405097533,1.2437642657460108,1.2953575892056355
2023-03-09,4.048485564579433,3.6046345279184973,2.7524812462743125,0.2558042152327961,0.27116781484391955,0.17824165140522852,0.26186313821395235,1.2807403144041696,1.2865745579253303,1.318240291454527,1.2312300506538814,1.2917412913237678
2023-03-10,5.12361642581092,3.6263840250566264,3.811145517548456,0.2594698747618993,0.2742028569369846,0.18260710782527928,0.26559723378817246,3.501036981099447,1.294261187118954,1.3292464649931588,1.239321045166651,1.2994671686320836
2023-03-11,4.072988182966445,3.6260255084398056,2.772799040987226,0.2589303361646334,0.2753457440008058,0.18254625610457526,0.26453708246443014,1.2895445941045554,1.2928973240587447,1.3290901027064854,1.235750318622589,1.2980305473836262
2023-03-12,4.071469548017714,3.6203951935577394,2.7703637820180256,0.25899575334469477,0.27485117213514115,0.1815988039686945,0.26438025815169014,1.2882052982807162,1.292033923823039,1.3276838285774653,1.2342605577437082,1.2975801512400307
2023-03-13,5.672771700356802,5.1626984995693626,2.757029900279574,0.2562081627294753,0.27197899000353287,0.17678928821722667,0.34294617665555743,1.2783187628502315,4.771822397536172,1.318759967971378,1.2286642315748004,1.2930390516238748
2023-03-14,21.195909901481205,6.8293915891223484,17.289723869387306,0.2895390134535896,0.30705335455523597,0.22841857903374566,0.3875590695418251,29.30204026392937,5.894714500206842,2.8340143578868444,2.368135532418357,2.653302735258739
