Time Bucket,1-Mains_A,2-Mains_B,4-Lights-Luz Sala Comedor,5-Air Conditioner-Split Rec 1,6-Lights-Luz Toma Rec2,7-Air Conditioner-Split Rec2,8-Lights-Luz Toma Rec3,9-Air Conditioner-Split Rec3,10-Lights-Closet baño Rec Pr,12-Lights-Luz y Toma Sala,13-Lights-Luz  Lav y Dect Humo,14-Lights-Lav y Cto Emp,15-Kitchen-Toma Cocina,16-Fridge/Freezer-Refrigerador
2023-02-24,0.5894997040664574,3.8128393609564655,3.378334466331544,0.0,0.00028250975304179723,0.0,0.4171835372344882,0.0010226134734683567,0.02971079485055387,0.0008529120748572881,0.012667634999487136,0.0,1.1283061955682436,1.338427381502664
2023-02-25,2.019066437392425,5.344043495138108,0.48260484099758055,2.8215918001262343,0.014215053601264953,0.0,0.7292658685397873,8.890744845072428e-06,0.09670704780396572,0.00021476126127772862,0.0008781330896748436,0.0,0.49000330763989025,2.8501732748695123
2023-02-26,3.6000200414813888,7.842883246405918,0.7234225012289154,4.8558871450856,0.004396304846604666,0.0,0.743083748041524,0.0,0.052997611082262475,0.001398921362294091,0.010156020305818981,0.0,1.748267307448652,2.7758430982091697
2023-02-27,3.1872879254391453,7.540088615452449,1.2464973614141677,5.123285117428567,0.015240241092311011,0.0,0.7162003356961409,2.9524220360649956e-06,0.060785642421642944,0.0002732963622940911,0.00015511614680290223,0.000247096152305603,2.3338754234223895,2.5395014146868387
2023-02-28,3.476860136282179,7.850588865626651,1.0220279337279001,6.080805574933157,0.00011965423160129125,0.0,0.8369502376519309,0.0,0.07491810355398389,2.6688441700405546e-05,0.0,0.0,2.1003731901952953,2.1644696784076425
2023-03-01,2.0537543047793765,4.518008672493088,0.26085790916482543,2.913441068610982,0.0,0.0,0.7978435321104466,3.1584686703152127e-06,0.10139954375978845,0.0,0.0022108441478676266,0.0,0.9746705688288477,1.4048711515415175
2023-03-02,0.11543297801799704,0.19821952430695605,0.004149918084145186,0.22362277806761674,0.0,0.0,0.031651855452005107,0.0,0.0037403586023599224,0.0,0.0,0.0,0.0,0.05367115509236806
2023-03-03,2.6895585508331883,5.618771679782842,0.33945560866316166,4.251606020574175,2.226003779305352e-05,3.026441733042399e-06,0.4646376058255917,2.924134466383192e-06,0.09003262495969361,7.677008363935682e-05,0.0,8.477426899804009e-06,1.2428855306363105,2.2106996354585595
2023-03-04,2.505944196835094,6.200289153553646,0.5675396456042926,3.8252780068100827,0.04303773803644709,0.0,0.3575046556594636,0.0,0.09233553437153498,0.00010155806329515245,0.005753954240613514,0.0,1.4879983777504497,2.5131454606604575
2023-03-05,3.675458303720421,7.977385170216031,1.0725979842821753,5.084905352954334,0.5601052899375227,0.0,0.7676923816143142,0.0,0.15505019160548844,0.0005171181811226739,0.0003530339613225725,7.596924636099072e-05,2.369125904758374,3.24808832084722
2023-03-06,2.821170298403634,6.080479159233306,0.6817012104898029,3.718194743340545,0.0032609749972820285,0.0,0.2573058834316996,2.7928601370917427e-06,0.07324048215217062,0.02969605384627978,0.022942135287125905,0.0,1.9875096859867043,2.9300203288291566
2023-03-07,1.9562122494917442,6.355020019074546,2.727400826770199,2.628925123893949,0.0,6.0984651247660314e-06,0.3236942802446418,0.0,0.09124835798607932,0.00016355755938424004,0.0420432646826903,0.0,0.9036410851403076,2.6906159694600102
2023-03-08,2.282488512526353,5.7485788081910885,0.698419931020472,2.9779365805477562,0.00044671999401516384,0.0,0.9563260721860991,0.0,0.1215097741250197,0.0026165216218100654,0.008414955854150984,0.0,0.9506362149763107,2.6349659270087873
2023-03-09,2.2587817100866645,5.195248959592183,0.8436311305504376,2.9302282184934616,0.00022590512381659615,0.0,0.5608926472907597,0.0,0.055235659235186044,5.828325351079305e-05,0.010882865530517365,0.0,0.5075096611229578,2.407062494162056
2023-03-10,5.837362671198051,6.244575704975128,0.9809108607077599,3.406507383164035,0.4517017497017649,0.0,0.27836283169455,2.8054401609632703e-06,0.08730946217113068,0.0006958924461735619,0.03344906832271152,9.960160361395942e-05,0.5396429692971706,2.4290562477750246
2023-03-11,4.637082265228695,7.660085261323716,0.47948595432228514,3.0700822805616594,3.1586002111434934e-05,0.0,0.5839770054348309,0.0,0.050184880924224844,0.0006010816939671835,0.006786437816354964,0.0003288634771770901,0.12520394394596418,2.3673302178348434
2023-03-12,3.526564270500077,6.982377864377765,0.336373074625598,6.556659670880107,0.00022926193237304688,0.0,0.24769403855204586,0.0,0.049097841367456645,2.9929361873202855e-05,0.0001121424463060167,0.0,0.21113383435474503,2.5049161525976658
2023-03-13,4.396578929168383,8.244690344379212,0.41162775633176174,7.24703754769961,2.1730211310916478e-05,0.0,0.7899742002525594,2.780724366505941e-06,0.06253263674206204,2.9136641555362282e-05,0.0025999813522232904,1.8361228042178683e-05,0.21587158544831805,3.1107637348002855
2023-03-14,2.8581762908991184,6.611099042059581,0.8140080330689748,4.450454669743644,0.0011933762335777285,0.0,0.39795851145717825,2.822605503929986e-06,0.10810107693460255,0.004898108537991843,0.0012237966745429567,0.0,0.1896779732424683,2.968794118795527
2023-03-15,9.53991844835732,12.46302482596927,1.0540795729984176,9.494690348875256,0.008780361309846243,0.0,1.2088572248066796,0.0,0.08898392080333499,0.00018301350752512614,0.028631255044274863,0.0,0.7994871476777395,3.3556046243007978
2023-03-16,4.624561420431933,9.539374930903117,1.4975336889139812,8.970043318037721,0.0011111776235368518,0.0,0.6943827983944945,2.8600462277730304e-06,0.08217391449954774,0.00018687979062398274,0.009860833436515594,0.0,0.30343128246108697,2.8808535761623912
