Time Bucket,1-Mains_A,2-Mains_B,3-Mains_C,4-Air Conditioner-Lounge Evaporadora,5-Air Conditioner-Gym condensadora,6-Air Conditioner-Lounge Condensadora,7-Air Conditioner-Gym evaporadora,8-Air Conditioner-Salon Eventos Evaporadora,9-Air Conditioner-Raquetball Evaporadora,10-Air Conditioner-Salon Eventos Condensadora,11-Air Conditioner-Raquetball Evaporadora2,12-Air Conditioner-A/C Baby Room,13-Air Conditioner-Raquetball Condensadora2,14-Air Conditioner-Doble de 20 sin nombre,15-Pump-Bomba Piscina 1,16-Pump-Bomba Piscina 2,17-Pump-Bomba Piscina 3
2023-02-18,36.278646647463894,31.22216404375289,32.38992622349421,2.247465114534166,47.16024493892352,0.06518329336086907,23.608727137452767,0.0032622147460778547,0.0034091782837443892,0.009724897582133612,0.012652136234707305,8.435356968226966,0.00035838354349136355,3.1739489237467446e-06,7.477290895250109e-06,0.0,0.0
2023-02-19,31.503233895107762,26.295786209604458,30.547496921274885,2.261408369003065,38.31367905105711,0.02117742749599933,19.509552422815176,0.0033449897964795434,0.003950485701966001,0.8912919608775773,0.0072570634137259565,9.498679162399373,0.000323073030312856,0.0,1.3527319166395398e-05,0.0,0.0
2023-02-20,51.16777265734264,45.74925785047957,33.77242524048862,25.17761338792994,47.064807844351535,2.159538768651601,29.120528310712956,0.03413413958390554,0.0037160624780843195,0.0318543197409312,0.01165759545829561,11.471593238776657,0.0006585171235932245,0.0,0.00011359224637349449,0.0,0.0
2023-02-21,46.30658278727849,43.38341138047112,33.61962125723416,17.07353642337587,44.739401459404625,1.666783597981665,33.44284388565064,0.011609475767612457,0.004007028522226544,0.0012059060664971672,0.017755525279310014,4.945358118055132,0.0005954524177975124,2.9591992166307237e-06,4.136039230558607e-05,0.0,0.0
2023-02-22,39.51219875561185,32.93740781738704,27.759669488418368,3.534490593420665,46.66804697963396,0.23081414587921562,22.15131572519779,0.006732465797265372,0.006507489191955991,0.001241974006096522,0.014644203446706135,8.389591340802511,0.0004705205739869012,0.0,4.678814225726659e-05,0.0,0.0
2023-02-23,34.10664847810534,28.33386257946862,31.082765419095356,2.2481303174421527,44.35140974675973,0.7476910780681504,21.22148260276159,0.0037763135854403176,0.022921901803281578,0.04273858257452647,0.014193551802370283,4.1594696738455035,0.0004302600370513068,0.0,1.9491989347669815e-05,0.0,0.0
2023-02-24,43.765021372053354,39.58457208720738,31.943227786440318,2.233809905234443,45.29824910767556,11.692143844096128,21.442338248496057,0.007290609712998073,0.003053618809382121,0.00017937396764755248,0.016378310473495063,9.465687217188941,0.0004620402386453416,6.008335749308268e-06,7.6293889681498215e-06,2.1781675944010415,0.0
2023-02-25,32.967994364763896,27.826466525624596,30.031515216232936,2.2519789547814266,40.76164475914001,0.018444066572984058,21.866142883016263,0.0027478442533810927,0.001475911826027764,8.796876192092896e-05,0.010459892883565693,7.841346695198483,0.0002550229173236423,0.0,4.865732457902696e-06,0.0,0.0
2023-02-26,42.98895227458742,41.21567152268727,24.414930318071576,28.932792122995583,27.736763434340162,4.179151681869559,16.67688723490397,0.007139611174662907,0.0011862039703792995,4.898617426554362e-05,0.007346008925173017,10.687102273502347,0.0003760842431916131,0.0,0.0002654935100343493,0.0,0.0
2023-02-27,52.104352945698615,49.77861399565803,33.66256382372962,26.407523684864042,48.66799058324178,5.198839832590687,27.77596139650345,0.022540965336561206,0.0021197186213069495,9.412825187047324e-05,0.016283011555671693,7.441767730441622,0.024626599405076766,0.0,0.003159724826812744,0.0,0.0
