Time Bucket,1-Mains_A,2-Mains_B,3-Mains_C,4-Air Conditioner-AC Arcade Room,5-Air Conditioner-Doble 6@8,6-Air Conditioner-AC Baby Room,7-Air Conditioner-AC Lobby Fancoil,8-Other-Campana,9-Air Conditioner-AC Lobby Condensador,10-Air Conditioner-27@29 30A,11-Air Conditioner-AC Salón Eventos Fancoil,12-Water Heater-Blower cont Jacuzzi,13-Air Conditioner-AC Salón Eventos Condensador,14-Pump-Bomba de piscina y filtro,15-Pump-Bomba Inchayet,16-Pump-Safety cto de Bombas
2023-02-20,12.675829135805765,8.239229854238298,12.37496225786209,2.3856698616833163,5.302559301634895,8.16991159983741,0.48911150854799484,1.705349127451579e-05,10.063637363290523,0.0007096515287293328,0.36888401485972927,0.0,0.0,8.683460903049045,0.0,0.0
2023-02-21,12.196419887250261,8.741504995587668,10.500643914173974,8.91235382341173,13.466677396869656,3.445289244107141,0.005139581151803335,0.0,2.877609994676378e-06,0.0,1.6977596593652833,0.0,0.0,8.579195197686088,0.0,0.0
2023-02-22,7.739242971534728,7.543819883435567,8.914555658673182,2.356608519562615,7.180482251987458,7.434939793872833,0.012495005429320865,4.470918973286947e-06,2.8406834602355958e-06,2.7835490968492296e-06,0.9741740076184273,0.0,0.0,8.560950942832099,0.0,0.0
2023-02-23,7.682054016420576,8.883676419924631,7.047430571306017,4.741996334991455,3.0007110619333055,7.4456427189339545,0.01632121335877313,1.3128534952799479e-05,3.832597944471571e-05,1.180164549085829e-05,0.07390988577153947,0.0,0.0,8.606951462385389,0.0,0.0
2023-02-24,7.877685184673734,5.702108158720866,9.344861130129496,2.3572259778383042,5.966701773694355,5.82775926668803,0.010669155400064254,8.54828953742981e-06,1.5402071211073136e-05,3.0929165416293678e-06,0.47708892177581785,0.0,0.0,8.334193968964682,0.0,0.0
2023-02-25,12.168090745446948,11.1743960070769,12.606805759290058,12.077691290635002,9.752533380940754,9.484224736785892,0.01980942164209154,1.7450454235076904e-05,3.558345503277249e-05,8.584919505649144e-06,1.1483702976253298,0.0,0.0,8.797808420011732,0.0,0.0
2023-02-26,12.85996418619156,6.87953287660175,11.210456841475168,9.431334116092257,10.015259421893223,9.230236076829701,0.01839970651043786,3.0484511057535807e-05,3.0188380612267384e-05,0.0,1.619954273481899,0.0,0.0,8.751793595055473,0.0,0.0
2023-02-27,6.341217407355838,6.4379634360652505,7.636451552405886,2.3657602954716155,2.8106293162006803,9.33525674758911,0.019138827743795186,0.0,2.6417636606428357e-05,6.236200597551134e-06,0.06567090483427047,0.0,0.0,8.73267930891249,0.0,0.0
2023-02-28,6.504592449434068,5.510079296603733,6.586774554356468,2.361419496635861,3.1790836850335875,6.743504629872641,0.011602760851118296,1.3049640655517579e-05,4.2080158392588295e-05,3.21464114718967e-06,0.1455823774581485,0.0,0.0,8.695382877833048,0.0,0.0
2023-03-01,7.249861913683149,7.229405314279133,8.843254760254755,2.359783503199683,4.936448234505124,9.191406449998219,0.01792511840581894,2.3253048658370972e-05,3.197902467515733e-05,2.9227415720621744e-06,0.14417039213021596,0.0,0.0,8.777672588924831,0.0,0.0
2023-03-02,8.878232524760282,9.17909877062068,8.52348487842897,6.176354031604533,5.61716296679331,8.186374196826666,0.014582620085430292,1.3797338803609212e-05,3.346755553999065e-05,2.9018947813245984e-06,0.4000811528737751,0.0,0.0,8.734965149586996,0.0,0.0
2023-03-03,8.084780609931169,7.987009756704844,7.750033186892212,5.1399342945275,3.425459881804321,8.390167340793031,0.016003194232431902,8.754885991414387e-06,3.897504757127644e-05,1.91959015528361e-05,0.08253119875754839,0.0,0.0,8.74749124516116,0.0,0.0
2023-03-04,6.772636289969549,5.3664460972277315,5.758454121510188,2.2740796163982813,3.7239166814570956,4.576680040592617,0.008701867872609034,8.600927193959554e-06,3.238416724734836e-05,8.761032422383625e-06,0.1908653122136328,0.0,0.0,8.74542934721205,0.0,0.0
2023-03-05,8.157565390381285,15.724474773729114,13.194854096106424,5.421817478766972,1.8238099393547906,8.097154689644707,0.03463194344176187,1.491346825246016,2.3382744524214006e-05,0.0,0.0594475829940372,0.0,11.976226665908495,8.71323805202908,0.0,0.0
2023-03-06,5.984364525470734,8.975598411869472,8.620169353788164,2.4920539067395526,1.8110644325934517,11.090036841261124,0.01968190541638268,0.00465504541238149,9.25873597462972e-06,0.0,0.003192310723993513,0.0,0.37263491460588244,8.663218300103082,0.0,0.0
2023-03-07,6.813481540605758,5.868101280690299,7.526353008013833,3.7613588807805374,3.7737776596450794,8.738411862990061,0.014027649882634479,0.015254470675388973,1.1679146289825439e-05,0.0,0.11629338537507589,0.0,0.0,8.447241148452758,0.0,0.0
2023-03-08,6.637106703298356,5.741748166867361,8.008787991277908,2.367412173959945,3.2414970352787447,8.89014692884233,0.016732278189659118,0.055553217302958174,1.1943267186482746e-05,2.8197108374701606e-06,0.07290085981819366,0.0,0.0,8.768738044382731,0.0,0.0
2023-03-09,28.403607819726737,9.948952551848095,25.003451105222705,4.661822631195916,1.872523738100264,10.412346874574027,2.6921985033898883,0.009604918130636216,45.7640792042592,0.0005412411061922708,0.3572716815498139,0.0,0.0,8.779758845316568,0.0,0.0
2023-03-10,31.263669876965416,7.3762588475693605,27.01399472107358,2.3904507358868923,2.9787424343490594,7.429000300850338,4.205129621611703,0.003723025656143824,50.92405971644084,0.00046889460325241094,0.4496992351174354,0.0,0.0,8.752337829555936,0.0,0.0
