Time Bucket,1-Mains_A,2-Mains_B,4-Air Conditioner-AC Der. Altar,5-Air Conditioner-AC Izq Altar,6-Air Conditioner-AC Fondo Room,7-Air Conditioner-AC Sankey Kids,8-Air Conditioner-AC Hisense Kids,9-Sub Panel-Tab. Toma Black,10-Sub Panel-Tab. Tomas Red,11-Sub Panel-Tab. Media Red,3-Mains_C,12-Sub Panel-Tab. Media Black,13-Sub Panel-Tab. Light 480v Yelow,14-Sub Panel-Tab. Luces 480v Brown
2023-02-20,8.687644206526015,13.144646695582072,4.086052624910143,0.0,17.378813078715005,20.309519266323512,1.519913672955036,0.0,0.0,1.411639319525825e-06,,,,
2023-02-21,8.625440166829426,13.06394755160014,4.071439450461069,0.0,17.25740756847805,20.171822172071668,1.5112038146909077,0.0,0.0,1.3946012655893962e-06,,,,
2023-02-22,8.701172068585288,13.165686032931012,4.036018148819606,9.21614416440328e-05,17.374052980653445,20.182291251864967,1.7421649179948702,0.0,1.5846134556664358e-06,3.0194793807135687e-06,,,,
2023-02-23,13.24024995292028,14.935380159960852,4.1631180250295,0.1143282232157389,17.740843675405717,19.64998952852143,1.5174054943495328,0.8905981787363688,1.379573467678494,0.2835644117906358,,,,
2023-02-24,2.6622617450883648,3.8186245492045088,3.992449181344774,0.0,0.0,1.5804142303117117,1.53417518844578,0.0,0.0,0.0,,,,
2023-02-25,8.392969003312851,9.28232757155948,9.142342640687094,5.830594801851113,3.564418645796246,4.769220384084914,1.905753608960046,0.4316691569236914,0.4293890098582374,0.0,,,,
2023-02-26,18.33601262348493,18.29227078342014,18.599919859072376,14.801783777633242,8.850724123737548,9.968991327003907,1.554932670129405,1.2011599983172947,1.6435105310571194,0.2894515949764517,,,,
2023-02-27,2.4713724220678546,4.019636876207988,4.632083009223938,0.0,0.0,1.1449671042516496,1.7551783991061318,0.0,0.0,1.4352529578738743e-06,,,,
2023-02-28,2.4800168906762865,3.925177179356681,4.641240794424482,4.307379828559028e-05,5.989184273613824e-05,1.1478513075253698,1.5533480662910142,0.0,0.0,0.0,,,,
2023-03-01,2.476029128186968,3.9097826024140248,4.636625785293578,0.0,0.0,1.147561657669279,1.5293223155032265,0.0,0.0,2.8026420540279813e-06,,,,
2023-03-02,2.4772580962965223,3.901390935200585,4.6346339181137095,0.0,0.0,1.147707079893748,1.5141393739824829,0.0,1.4387265841166178e-06,1.4059246910942926e-06,,,,
2023-03-03,6.272281640626059,7.135433255935246,7.820878080012005,3.7281794700188113,2.606396112187173,3.639966994868384,1.718706450832155,0.4449484779548645,0.4265050413068135,1.3581352511639069,,,,
2023-03-04,9.896209592484372,12.103106964630552,13.530238183670049,7.524699235902891,4.524938069140646,5.557505128529866,1.4938594962631329,0.6104431290725867,0.7632997801240285,1.963314361993869,,,,
2023-03-05,18.468175935505755,19.657458225477004,19.415034632199603,13.504261723716525,9.676383603597484,11.303918414839638,1.82549664894104,1.1909010977066887,2.044121937338512,0.71299164546397,,,,
2023-03-06,2.6981377580451964,3.9068917481358847,4.12771202492608,0.0,0.0,1.5905431165409083,1.577236597416136,0.0,1.3987971676720512e-06,0.0,,,,
2023-03-07,2.698561089846293,3.90280765089459,4.126271107694838,0.0,0.0,1.5907545711962383,1.5726726217714946,0.0,1.6430013709598117e-06,1.5680130322774252e-06,,,,
2023-03-08,2.7081600754123265,4.00970728392707,4.14437215332455,0.0,0.0,1.596498346590466,1.765249918117788,0.0,0.0,1.5221818288167318e-06,,,,
2023-03-09,2.695306223015256,3.7529362999025984,3.8956918087853327,0.0019925105370415,0.0,1.5876131861601936,1.507095969968107,0.0,1.9830738173590767e-06,0.0,,,,
2023-03-10,8.769889625076717,9.086340920825537,4.202734135140314,0.1444727350913153,6.915350422562493,8.309340423013898,1.5343610103307828,0.8078811339897579,1.1820862237146166,0.150579353512658,,,,
2023-03-11,2.749405476275551,3.7774273175642223,3.6772911487706494,0.0,0.0,1.6189749563259546,1.741245370754401,0.0,0.0,0.0,,,,
2023-03-12,18.75333765233464,18.70593054975086,16.807300313048895,13.546640261247688,9.91193127227412,12.14254132261912,1.6274099085564084,1.264055686261654,1.7714797494941288,0.3867941637486881,,,,
2023-03-13,7.374137557911343,9.060170232045914,10.25664804453956,4.917319121954176,3.3830759301389586,4.914834796524048,1.5272428798190751,0.3321305193625556,0.0021894495121637,0.0,,,,
2023-03-14,2.7002480775600004,6.954200948058233,10.140677683376738,0.0001082032669915,0.0,1.5940161494498786,1.7500210338645517,1.4338997999827068e-06,0.0,0.0,,,,
2023-03-15,2.7993217287826537,5.1874446436966775,6.601106549500358,0.0053101142544216,0.0,1.603591261557473,1.548596360151238,0.0323212374072604,0.0351904240692986,0.0,,,,
2023-03-16,2.702118484194013,3.570724414143033,3.5006087081951573,0.0,0.0,1.591524553551144,1.5369123666591116,2.8660588794284394e-06,0.0,0.0,,,,
2023-03-17,2.717471027480688,3.6677572973258337,3.505068117673952,0.0,0.0,1.589019415985341,1.7349354382895168,1.43278612030877e-06,0.0,1.475777096218533e-06,,,,
2023-03-18,16.21134293704436,16.10590984420681,13.436487908971724,10.923261992672815,9.827517556819387,10.967111590470248,1.4814210539963153,1.1313140989557902,1.5559494756359524,0.6724633767472057,,,,
2023-03-19,17.609012132176044,17.322575719943828,16.682719118571374,13.54978719948398,8.992526661222776,10.601849453638232,1.5373118276343365,1.1023360403442384,1.817981160299513,1.6443523817992531,,,,
2023-03-20,2.252302825404273,3.872952677006192,3.932924313557943,0.0,0.0,1.558810457717048,1.7496484904911789,0.0,0.0,1.469089615389771,,,,
