Time Bucket,1-Mains_A
2023-09-08,0.17759694277680899
2023-09-09,0.0
2023-09-10,0.0
2023-09-11,0.16259039464552275
2023-09-12,0.1632112943656305
2023-09-13,0.0
2023-09-14,0.0
2023-09-15,0.1506280486884623
2023-09-16,0.0
2023-09-17,0.24796254948487198
2023-09-18,0.0
2023-09-19,0.0
2023-09-20,0.0
2023-09-21,0.19057849126805712
2023-09-22,0.0
2023-09-23,0.0
2023-09-24,0.0
2023-09-25,0.15387572017318213
2023-09-26,0.0375082032082943
2023-09-27,0.09269272963342541
2023-09-28,0.17322725884086898
2023-09-29,0.0
2023-09-30,0.0
2023-10-01,0.0
2023-10-02,0.12909959895158962
2023-10-03,0.1583715280483271
2023-10-04,0.0
2023-10-05,0.1569520880900274
2023-10-06,0.0
2023-10-07,0.0
2023-10-08,0.0
2023-10-09,0.3119379526147027
2023-10-10,0.0
2023-10-11,0.1500734543882942
2023-10-12,0.15294712839857766
2023-10-13,0.0
2023-10-14,0.1824310433544045
2023-10-15,0.0
2023-10-16,0.14212174974390707
2023-10-17,0.16093909949412702
2023-10-18,0.0
2023-10-19,0.0
2023-10-20,0.0
2023-10-21,0.0
2023-10-22,0.02013377073877998
2023-10-23,0.13499878029598716
2023-10-24,0.09651745560527641
2023-10-25,0.18530761670716644
2023-10-26,0.16457805727935867
2023-10-27,0.0
2023-10-28,0.15298698230332985
2023-10-29,0.14926085717419257
2023-10-30,0.0
2023-10-31,0.3143398783472046
2023-11-01,0.0
2023-11-02,0.0
2023-11-03,0.0
2023-11-04,0.1596914811203895
2023-11-05,0.14323037457870236
2023-11-06,0.1505445081422112
2023-11-07,0.01196056531012285
2023-11-08,0.16004267026373145
2023-11-09,0.002329268982386219
2023-11-10,0.1259750373857366
2023-11-11,0.17195945961746698
2023-11-12,0.0
2023-11-13,0.1291277252443897
2023-11-14,0.0
2023-11-15,0.0
2023-11-16,0.0
2023-11-17,0.14909832355419295
2023-11-18,0.1474275877046286
2023-11-18,0.1474275877046286
2023-11-19,0.1654662997860417
2023-11-20,0.0
2023-11-21,0.013246650406305696
2023-11-22,0.12110206819942074
2023-11-23,0.170242024328627
2023-11-24,0.0
2023-11-25,5.9415757977091025e-05
2023-11-26,0.0
2023-11-27,0.0
2023-11-28,0.0
2023-11-29,0.14956106532377583
2023-11-30,0.0
2023-12-01,0.0
2023-12-02,0.0
2023-12-03,0.0
2023-12-04,0.015655597721805307
2023-12-05,0.10370503938908977
